client_id,path,sentence,up_votes,down_votes,age,gender,accent,label
299f0dd85f2861f679e92991dc15e9adbdcc7cb8ce7e6df075f462a56ec7664f2f5e37671d88006d525e3c5454dd5e1258bf38e85df96b1356861fadbf259999,common_voice_en_17809561.mp3,She was just diagnosed with uterine cancer.,2,1,twenties,male,us,0
cb0f7f0efd912b147384576e775305918a1771d0c6671f163cf95bb352156903a220214a20161a183642a46f1ce083fa9c730e7820f311127a972dc6c00f3184,common_voice_en_18503344.mp3,I passed away and left them to it.,2,0,twenties,male,,0
4b1f65b5c816def93f8a77d7fc30efdaaccaf64c4ea8e4fbb8e084417e1eb110db265d4fe3e36b8b3b00d87935b4bd65d47b6da33fd2481bb6466e9af839a7d3,common_voice_en_19451340.mp3,"Ashley reported twelve men killed and eleven wounded, of whom two died.",2,1,twenties,female,,1
d1413283d794651695ea5c4d311a88e302e13f64719c694e69fffa94701b09086152b973ea7651e30b8e981666bc10252f56a8b37bb15fdf3cf238f0c9a17446,common_voice_en_145240.mp3,that's all Mark ever talks about.,2,0,twenties,male,us,0
f8f76b94170a19421464ac1a3b62a926edae4cb12a0a39c93e1d901682e617a1bfd98290e239f07c670bca0d654f2582e1deae7517dc98b9b8e7a7b326874d25,common_voice_en_18756695.mp3,He was afterwards a pupil of Cardinal Francesco Albani.,2,0,twenties,female,indian,1
62c2f99a563479f7987ec59165879dc0ac022f0c250e6a00d30da9e3bd3913f925d3e0c81d8480d0e21aaabb4d6b49d11cf3095419d433ecee835d4298005a92,common_voice_en_17958961.mp3,"Waiter, King and emperor.",2,0,twenties,male,,0
ceb29bce299d412cf9d4e01e6302cf2dfc4cd13ceea6b102df56458af0c95475179b3445c705441a69ae54ec6ecb7a08207808cebd40a7cecc94250c82e49785,common_voice_en_128746.mp3,The Italian got her words mixed up.,3,0,twenties,male,,0
2cabcb2c2e02e505f4c252aea1dda5bce10e9e995ec97f6bf2191ae07e171124bc12b9994309ff0fae3c8cc0823f96c715ede068c5e0b9ab0816ffe3fffbaa79,common_voice_en_19345578.mp3,Many others did not.,2,0,twenties,male,us,0
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461,common_voice_en_18102013.mp3,"Our bitch had puppies, do you want one?",2,0,twenties,male,,0
020861f2e8dbefe228cd313e33c6c81560c40d8262f650703ebc6ef62072fa08b3d535846d3f1898c8551583d1eeb678e79e21f56b14756f8dac071dc0515e9c,common_voice_en_18938314.mp3,Evans had always been interested in writing as well as playing.,2,0,twenties,male,us,0
9cf2cf2df4ca132b67ba09daa4b3ee45e7c45de0bd56301cb3aecc555f5d9720305523136ec422dee6331de1f386d51456b6a5e8a092a07163dde1833f8e3377,common_voice_en_20030469.mp3,"The town is named after Richard Arkwright, the inventor of a spinning device.",2,0,twenties,male,us,0
103b0eb5778efbfc4389abe411a125df90437d150bc0f39b398dbb8b5f0b309ffe7e4a2a6e29a3694fe1a4de11cb784ce2db274e754e0f7f541c35704187d3ec,common_voice_en_1858144.mp3,It is easier to destroy than to build.,2,0,twenties,male,us,0
3646524ed06920bdbd2f041d0a8e50c55ec09cbf87dda94409b962ed0397736f2b15e36d96fb8354c268e416df9e784f735dab2f59445d911509c794a2ba0682,common_voice_en_17422922.mp3,"They were spaced out, in rows three feet apart.",2,1,twenties,male,us,0
c4215a63594a310a1f1003e4cc4a990ad4c7475e8cb46582a77860e27dc59993062e0d817ccd56b5eea9c8f436b1ab5140e7b4a616264571c5836dfd87080ca9,common_voice_en_20021855.mp3,Diversion of flow could still be seen as the river turns.,2,0,twenties,male,us,0
4c407a51103a79d22a55ba3047ed5e1353ad666e3ed14df8998c75b7acdb1f335f7d77fd6526cc6950c5ebfc5dc998cb784dbba2b28556c81056e842ca8f0758,common_voice_en_18505779.mp3,All the best,2,0,twenties,male,,0
185a19520056bd31c0b7613af5d9eb45e5b9eb8061127fc839233aac463eee2c687007a5977d117e7301d2c959de1b27d9331f7cb0bab85f776e64120795c77e,common_voice_en_17271057.mp3,"Love me, love my dog.",2,0,twenties,female,indian,1
0c10c8f90394fb7b2e8ed4f4677c36b08e5117e180931245dde8c5329834fe8fbd679358d7ee3cf86eaf7d8d9759bfea5fed0e5c6e760b084c759b087d70da4f,common_voice_en_17295294.mp3,"Look, fireflies!",2,0,twenties,male,england,0
a66e36fe7640b14b9798540cfee0385da8a6b43808100ff3e615d2f3e2b130f7274f1fa1ad5a2ae61d9b048d81d7476f480053c9463d6b939ae34f368d1efe3b,common_voice_en_39050.mp3,Three greyhounds racing on a track,3,0,twenties,male,,0
bd40057da2ff758fe7e83ff2a5df39720e7cdeb849c98fc79d4c0477e40980a3753884142e86a317050154bb952a71585846097b2d622470ba0dead29e7225d0,common_voice_en_17704587.mp3,What was she like?,2,1,twenties,male,indian,0
7cc59b14ae724f03415b6d2eb49e91cbbd19931913408dd4cd4cde6fe343797c15f354455693dbf53aea797bb98745fa418cd78a3758ee311e19960854ca6550,common_voice_en_19855124.mp3,They have at least two cusps.,2,0,twenties,female,us,1
02054186668fe78a21ad6123bb0b53803c04601ddbe52747f76da5b0a7ce686104cc60358863aa9c9d9959f98625d001d5f718de6e2a0646f8c82162225c53ba,common_voice_en_298520.mp3,We will be visiting in April.,2,0,twenties,male,england,0
3dbb15be45bbb6a44cee0c715a4fd06c4e5267061420217c4a4279a8f47365fa3c7243c274d08ddaa39a11d39b1c281760c59e358f1a4b14914923605831a3b8,common_voice_en_18426425.mp3,The fellow with a face rather like a walnut.,2,0,twenties,male,indian,0
5f047713c8bdb300204b259abe32d12fcf660d9a2cc190b3bb5520d11149e42fa014dd345e5a363027c7e44c54b2855883d1e39562744ed33a43d38d935a0832,common_voice_en_17817490.mp3,"Look, the seam is now broken, it couldn't stand the jerk.",2,0,twenties,male,,0
0512779dbc718e90b827551544de65a0f94c352e2d9325c9c227937bd5c518f6093608ec7006f04babbc83771755f273e7b88952af0359446c56439d40f59e16,common_voice_en_19350300.mp3,The rest is Ibsen.,2,0,twenties,male,us,0
d7ef4704906bcf4fd4f75fe485d779404d610d034eac4512e217fc43433e4091f512c411b25abd4ba01bd955d2d7087de888d79b21441f4a93ca71848f90eee0,common_voice_en_17537540.mp3,What do you want here?,2,0,twenties,male,other,0
fce08c366ebddbe5883c35b6ebee2779fe3568376f0631e59d2d80fd6b150f603373e3be1d776f91345470d2acddc884d9f4fee0e68474aaa6ea023ef1b6a1e5,common_voice_en_17386666.mp3,"Shake the dust from your shoes, stranger.",2,0,twenties,male,us,0
3b40620fb88c93c1bbd6027cadb04e36e3a3e873c2de99a428b6119d0ef3b082c1847c2030b50a256857c34c45c09e794477a02300b44fb22491846b168405cf,common_voice_en_17684651.mp3,Experts of geology agree: Yesterday's tsunami was just a herald of the imminent apocalypse.,2,0,twenties,female,us,1
449e47b69e3ece6b29d2c53e1607d1afdf24a31742e3e6b61137f11867161e2bc28c1a63645a1328f869b5f3cf1817cff19866f8052269ce65d3d23320d18569,common_voice_en_19289250.mp3,"He attempted to obtain more of the store's video surveillance footage, but was refused.",2,0,twenties,male,us,0
